main_id,ra,dec,plx_value
"""TYC 8410-1073-1""",308.81582166757,-47.39721922191,2.3076
"""Gaia DR3 6674382790052222592""",309.36808295663,-47.311998206039995,0.5724
"""Gaia DR3 6674386771487918592""",309.25617663078,-47.24097739817,3.2005
"""TYC 8410-538-1""",308.77176038669,-47.30899755833,3.1651
"""Gaia DR3 6674395498861458048""",308.82684316124,-47.24761922494001,0.5291
"""TYC 8410-642-1""",309.05025764544996,-47.20331850182,1.0814
"""Gaia DR3 6674401030779373312""",309.00711958583,-47.20411295952999,1.5384
"""Gaia DR3 6674401889772859520""",308.98817361824,-47.16323672817,3.6978
"""TYC 8410-546-1""",308.37775424357,-47.46173918797,0.4499
"""TYC 8410-1026-1""",308.16506978778,-47.60501453765999,3.8213
"""TYC 8410-684-1""",308.31557566903996,-47.44186100305999,1.4962
"""Gaia DR3 6674415844120619904""",308.45166242248,-47.40101354837999,6.3676
"""2MASS J20333771-4726124""",308.40720822366,-47.43678405467,0.2773
"""USNO-B1.0 0425-00967547""",308.48848726852,-47.41188261758,0.3993
"""2MASS J20335143-4723111""",308.46442854108,-47.38640327204,0.0656
"""2MASS J20332407-4725262""",308.35027200827,-47.42396873178999,0.1547
"""USNO-B1.0 0426-00961946""",308.37608171503996,-47.37309017089,0.4312
"""USNO-B1.0 0426-00962071""",308.45975715246,-47.36088472407,3.8087
"""[MWC2015] WFI J2033-4723 13048""",308.41023261239,-47.3637483892,0.0551
"""TYC 8410-350-1""",308.44429331088,-47.2390490113,4.4741
"""Gaia DR3 6674424945156212224""",308.20199769803,-47.41554711105001,9.7568
"""Gaia DR3 6674423708205578752""",308.01969936512,-47.49790548493,2.6302
"""TYC 8410-1086-1""",308.20274234094,-47.38922064304,0.6833
"""TYC 8410-618-1""",308.02641876022994,-47.30483694744,2.7456
"""HD 195349""",308.15238916728,-47.242869566630006,2.9829
"""TYC 8410-526-1""",308.15870466516,-47.20290381573,4.6038
"""TYC 8410-805-1""",308.13018098491,-47.156824311259996,5.0026
"""BPS CS 22943-0172""",308.18405472405,-47.11633048347001,0.4859
"""Gaia DR3 6674438276734514688""",308.30029921089,-47.124110325340006,0.57
"""Gaia DR3 6674439479325369216""",308.25896796737,-47.05778763631,1.8548
"""SIPS J2034-4702""",308.57965189543995,-47.04600141924999,14.0534
"""TYC 8410-164-1""",308.9631697692199,-47.10826624279999,1.9434
"""2MASS J20351491-4658100""",308.81214657245,-46.96948159929,1.0728
"""CD-47 13455""",308.50155401822,-46.85446338928,1.0583
"""TYC 8406-387-1""",308.77266242432,-46.790960470070004,2.2523
"""TYC 8406-393-1""",308.76423497288,-46.82714715716,1.7708
"""Gaia DR3 6674460370047110784""",308.61180931589,-47.00281771613,0.7053
"""TYC 8406-51-1""",308.86631272615,-46.7264033695,3.9115
"""Gaia DR3 6674471021566122880""",308.67281277688,-46.844647663740005,0.9778
"""HD 195831""",308.85303811312997,-46.65360297408,1.9473
"""TYC 8406-1611-1""",308.78250932070995,-46.63521484799,1.7586
"""Gaia DR3 6674482360279060224""",309.47532790524,-47.10764497629,0.3166
"""TYC 8411-505-1""",309.55954578049,-46.98527769494999,0.759
"""CD-47 13483""",309.73226217548,-46.944781654450004,1.0671
"""TYC 8411-561-1""",309.75005639186,-46.93534505680001,2.1093
"""TYC 8410-528-1""",309.31039860059,-47.07222072492,2.5373
"""UCAC2  11900607""",309.22658804969,-46.96681892431,9.6451
"""TYC 8411-509-1""",309.5227727713099,-46.91391695699,3.1517
"""TYC 8407-1054-1""",309.58692332563,-46.77039310755,4.714
"""TYC 8407-1020-1""",309.96441085147,-46.81979414954,3.9999
"""Gaia DR2 6674523974217870080""",310.07010804959,-46.61845400907,7.382
"""Gaia DR2 6674524210440920960""",310.06385415423995,-46.59504673993,5.6797
"""UCAC2  11900837""",310.0683651345099,-46.61641663408,7.1531
"""CD-47 13486""",309.78482542332,-46.61976993476999,3.526
"""TYC 8407-1264-1""",309.82808585028,-46.61800230402,0.5904
"""V* BB Ind""",309.79719897577,-46.59539854445,0.804
"""Gaia DR3 6674536339428728960""",309.71367234311,-46.4482544772,0.4017
"""TYC 8407-1198-1""",309.79107969434,-46.53336585986,1.7016
"""TYC 8407-1230-1""",310.03322531232,-46.501842513579994,1.2134
"""TYC 8407-986-1""",310.09082440659,-46.43863075858,3.527
"""TYC 8406-209-1""",309.15152252524996,-46.83609208343,8.3438
"""Gaia DR3 6674546441191314304""",309.21520207619,-46.88489041711999,3.8958
"""Gaia DR3 6674559600970534400""",309.32046537569994,-46.581937345419995,3.2073
"""HD 195866""",308.91582545715,-46.68928576535,2.0585
"""TYC 8406-1566-1""",308.84384634438,-46.621101944580005,4.4196
"""BPS CS 22943-0177""",308.95699561732,-46.62931557820001,0.7583
"""TYC 8406-1383-1""",308.9024096182699,-46.48384289689,3.1144
"""TYC 8406-1291-1""",309.21482816891,-46.49662921122,2.3349
"""CD-46 13615""",309.06444046802994,-46.34137894862,4.1305
"""HD 196106""",309.22736328343,-46.45624336511,1.7697
"""Gaia DR3 6674583549709274112""",309.69246229561,-46.41006459383,0.9615
"""TYC 8407-1018-1""",309.47248275709,-46.394102979109995,2.8696
"""TYC 8407-1124-1""",309.42806494711,-46.29339906249001,3.278
"""Gaia DR3 6674618871518909824""",308.06732355669,-47.20845543384,0.9556
"""TYC 8410-216-1""",308.01081508022,-47.06054716602,2.8763
"""Gaia DR3 6674623578803144320""",307.97796125831997,-47.070372279279994,0.8128
"""Gaia DR3 6674627049136784640""",308.13233877909994,-46.99013925321,1.2821
"""CD-47 13438""",308.11837059009,-47.07346863762,1.6723
"""TYC 8410-320-1""",308.18676979968,-46.92554814726,2.3255
"""Gaia DR3 6674655086684399488""",308.41232428593,-46.73981662064,1.3298
"""CRTS J203300.0-464719""",308.24994984511,-46.78847302507,0.0114
"""TYC 8406-1616-1""",308.43079715292,-46.60636923315,0.9411
"""TYC 8406-992-1""",308.85001532591,-46.40118035414,5.7528
"""2MASS J20332992-4725500""",308.37466025227,-47.43060733774,0.7414
"""USNO-B1.0 0426-00962002""",308.41295622173,-47.37248880842999,0.0043
"""UCAC2  11670451""",309.3533521282299,-47.10434297794,0.4415
"""UCAC2  11670425""",309.24880255762,-47.17178321797999,2.8398
"""UCAC2  11670705""",310.35475216779,-47.16601093608,2.1678
"""TYC 8410-466-1""",308.98988392002,-46.90488937903,1.2775
"""UCAC2  11446145""",310.23330402341,-47.82092647807,3.0804
"""UCAC2  11670165""",308.41978239366,-47.391374392610004,0.5352
"""USNO-B1.0 0426-00962058""",308.4510253861399,-47.39639913501001,0.6379
"""V* VY Ind""",310.5264825457899,-47.07770666135,1.5344
"""2MASX J20391002-4702534""",309.79169572271,-47.047964619880005,2.5159
"""UCAC4 216-192614""",308.0663134579425,-46.92254092598944,0.7804
"""UCAC4 216-192619""",308.085642796955,-46.93043541526973,1.9241
"""UCAC4 216-192623""",308.1100280365229,-46.840514475243054,2.7105
"""UCAC4 217-187089""",308.1643462796621,-46.76465594138889,1.4869
"""UCAC4 216-192648""",308.213455497435,-46.92402224284056,2.0484
"""UCAC4 216-192650""",308.22807814711547,-46.9049865967125,1.3434
"""UCAC4 216-192663""",308.28603974250876,-46.93309748589472,1.4019
"""UCAC4 216-192665""",308.3014547593958,-46.82551273960555,1.1582
"""UCAC4 216-192689""",308.42752201198164,-46.921773736495275,0.9519
"""UCAC4 216-192699""",308.49037672127247,-46.84554072522417,1.0576
"""UCAC4 216-192704""",308.5188498893979,-46.96752653013111,8.5716
"""UCAC4 216-192707""",308.5347267410067,-46.805454287913896,1.6399
"""UCAC4 216-192709""",308.5420949299104,-46.817720896235,0.4983
"""UCAC4 218-192371""",308.55928466730455,-46.48016035688417,0.3059
"""UCAC4 218-192372""",308.56348868157124,-46.55802684697194,7.1648
"""UCAC4 216-192717""",308.5746241267775,-46.845468398854166,2.2359
"""UCAC4 217-187182""",308.5912687749283,-46.71204586705,3.4151
"""UCAC4 216-192722""",308.596504720355,-46.80869335216916,1.171
"""UCAC4 217-187184""",308.6261756742374,-46.68688784040777,0.4097
"""UCAC4 218-192389""",308.6376048414737,-46.51996172807056,1.9621
"""UCAC4 216-192736""",308.63959031457284,-46.93881200479555,0.912
"""UCAC4 218-192394""",308.66456370731123,-46.42991159444555,3.4444
"""UCAC4 217-187193""",308.6652228234804,-46.72195531553916,2.3006
"""UCAC4 217-187194""",308.66531559604,-46.750401365721395,0.8213
"""UCAC4 216-192744""",308.69870122393417,-46.95665760650473,0.5664
"""UCAC4 217-187196""",308.69894184061,-46.61864411961945,1.044
"""UCAC4 218-192408""",308.7087803400104,-46.484482205946385,3.6018
"""UCAC4 218-192416""",308.7231837496033,-46.42084717408139,1.5986
"""UCAC4 217-187201""",308.7243478509871,-46.711790542672496,1.9347
"""UCAC4 218-192430""",308.7519854805954,-46.590968277828345,1.4184
"""UCAC4 218-192424""",308.7397805737179,-46.533458616484175,1.4405
"""UCAC4 218-192439""",308.80867172714454,-46.41825859580361,0.8858
"""UCAC4 216-192781""",308.847473433605,-46.86776846566167,1.134
"""UCAC4 217-187230""",308.8692509058021,-46.73318743448945,1.0397
"""UCAC4 216-192784""",308.877897201942,-46.85326133307972,0.3702
"""UCAC4 217-187232""",308.88337626412044,-46.69422082396138,0.5844
"""UCAC4 217-187236""",308.9299181465325,-46.73496747997028,1.2547
"""UCAC4 217-187238""",308.93468141997334,-46.78305891804527,1.8044
"""UCAC4 217-187241""",308.95547481064625,-46.68752644847194,0.892
"""UCAC4 218-192473""",308.9666795538829,-46.497783600133054,1.7059
"""UCAC4 219-182883""",309.04714684295084,-46.31999942995723,0.5504
"""UCAC4 216-192811""",309.06949785118377,-46.900932457427224,2.4317
"""UCAC4 217-187260""",309.09203012777624,-46.61900763123139,0.8197
"""UCAC4 216-192814""",309.0995132736366,-46.96725140264639,1.6076
"""UCAC4 217-187262""",309.1030122893046,-46.649783597203054,1.3618
"""UCAC4 216-192815""",309.10302395005294,-46.85565303084444,0.8919
"""UCAC4 218-192497""",309.1040087470067,-46.43913196738471,0.9816
"""UCAC4 216-192820""",309.11691246276627,-46.80079779943972,2.3897
"""UCAC4 219-182894""",309.1365619933588,-46.313902717121934,2.2191
"""UCAC4 217-187269""",309.15406515978003,-46.7740764206875,0.9822
"""UCAC4 216-192834""",309.17780306735835,-46.93143643036139,1.3266
"""UCAC4 217-187289""",309.2079386152554,-46.63109391387305,2.577
"""UCAC4 216-192837""",309.18881224906124,-46.87352628011473,0.2781
"""UCAC4 216-192851""",309.23092442816545,-46.87893669593806,1.8488
"""UCAC4 216-192846""",309.2228768416046,-46.81819635572557,4.1233
"""UCAC4 217-187297""",309.2378164074017,-46.78307115406001,1.0051
"""UCAC4 216-192854""",309.24392548152673,-46.81445375807722,2.0715
"""UCAC4 218-192542""",309.2958730631571,-46.44273444791778,3.1705
"""UCAC4 219-182926""",309.3199037386404,-46.355533363284444,0.0985
"""UCAC4 216-192878""",309.3602108661612,-46.90944031834111,0.2921
"""UCAC4 216-192880""",309.3663792805267,-46.89806657299806,0.6705
"""UCAC4 218-192557""",309.3727189715625,-46.59159825090167,4.1901
"""UCAC4 218-192558""",309.377604589665,-46.40890606932417,1.6345
"""UCAC4 216-192882""",309.3791198153046,-46.80891531894555,1.5871
"""UCAC4 216-192884""",309.3818520512821,-46.85281548990446,2.1963
"""UCAC4 219-182947""",309.3932536687187,-46.30822337177055,0.6906
"""UCAC4 218-192560""",309.38342381403294,-46.519554339551114,1.1187
"""UCAC4 216-192891""",309.4059836907246,-46.857693252907225,0.4905
"""UCAC4 217-187333""",309.42723233855503,-46.63288879625,0.6413
"""UCAC4 219-182960""",309.4346181832196,-46.29774818773528,3.2281
"""UCAC4 216-192899""",309.4461542155417,-46.883276747043325,0.8227
"""UCAC4 218-192575""",309.43990895130787,-46.419212150019995,1.2443
"""UCAC4 219-182970""",309.48039586755755,-46.34720084637778,2.1422
